,,val_loss,val_acc,loss,acc,test_loss
2,0,1.7594298141479492,0.3756,1.9093379223717584,0.32455555555555554,1.7455843406677245
2,1,1.5181890045166015,0.4728,1.6228435570398967,0.4329777777777778,1.506724377632141
2,2,1.3608216995239257,0.521,1.4356380215962727,0.4938666666666667,1.3578579750061035
2,3,1.2654949865341187,0.5618,1.3078153815163507,0.5376444444444445,1.2636489051818847
2,4,1.2192092208862304,0.5758,1.2137456926557753,0.5756666666666667,1.2178788354873658
2,5,1.1924321842193604,0.5866,1.1784040910508897,0.5886222222222223,1.1933298292160035
2,6,1.1712493131637574,0.5918,1.147274693997701,0.6002,1.1730997919082642
2,7,1.1680024766921997,0.585,1.1158622153600057,0.6109333333333333,1.1640879217147828
2,8,1.136312248802185,0.6024,1.0912645065731472,0.6221777777777778,1.13581185836792
2,9,1.1217334808349608,0.609,1.0524526264508565,0.6368888888888888,1.124524652481079
2,10,1.1123144439697266,0.6118,1.0381514176686606,0.6426222222222222,1.1153368297576904
2,11,1.1067018342971802,0.6174,1.024706421576606,0.6470444444444444,1.1090030143737792
2,12,1.107657957649231,0.6166,1.0131085924572414,0.6502666666666667,1.1045397798538208
2,13,1.095404993247986,0.6202,0.9995021011723413,0.6550888888888889,1.099752226638794
2,14,1.0835209394454957,0.6238,0.9776627505832248,0.6635777777777778,1.0870691289901733
3,0,1.6915656513214112,0.4102,1.8744371869828966,0.33866666666666667,1.669486399078369
3,1,1.4686480932235717,0.4814,1.5659159378899468,0.4488666666666667,1.454201509475708
3,2,1.3292636728286744,0.5382,1.378766151301066,0.5136,1.319254790878296
3,3,1.2375286670684815,0.5738,1.2596082081688775,0.5571333333333334,1.239629813194275
3,4,1.1691206924438478,0.597,1.1626522714614869,0.5958222222222223,1.176500631904602
3,5,1.1616666049957276,0.5954,1.120947185643514,0.6104666666666667,1.1668891513824462
3,6,1.1312727350234986,0.6086,1.086088793012831,0.6253111111111112,1.1337609313964845
3,7,1.10680207862854,0.6144,1.0547295662668017,0.6348444444444444,1.1161446466445923
3,8,1.105717384338379,0.6184,1.0220924433814156,0.6460222222222223,1.1156644193649292
3,9,1.0746430900573731,0.63,0.9737333369572957,0.6664666666666667,1.0862692655563355
3,10,1.0625128147125245,0.6324,0.9562621860292223,0.6728444444444445,1.0756247080802916
3,11,1.048618500328064,0.6384,0.9379075798564487,0.6788888888888889,1.0588277521133422
3,12,1.052947151184082,0.633,0.9207332061767578,0.6841111111111111,1.0629636156082154
3,13,1.0244387149810792,0.6486,0.904885823864407,0.6898888888888889,1.0413022897720337
3,14,1.0187405504226685,0.6498,0.875152449883355,0.7017333333333333,1.0311769861221314
4,0,1.619368124961853,0.421,1.8347001334720188,0.3486222222222222,1.6061369766235352
4,1,1.3687481170654296,0.522,1.4815874315897624,0.4739111111111111,1.3672217002868652
4,2,1.2963170795440673,0.5444,1.321696005545722,0.5318,1.300841544532776
4,3,1.2013266914367675,0.5834,1.225447054942449,0.5671777777777778,1.2137109794616698
4,4,1.1621708532333375,0.601,1.132136991098192,0.6043777777777778,1.1705730248451234
4,5,1.1461203172683716,0.6004,1.0919140147738986,0.6190888888888889,1.1554896530151366
4,6,1.097775775527954,0.6174,1.0571290221426222,0.6315777777777778,1.115631900405884
4,7,1.1041893590927123,0.6198,1.0219026866912841,0.6454,1.1211660375595094
4,8,1.0458357311248778,0.6432,0.9867424015045166,0.6568666666666667,1.0656237377166748
4,9,1.0359480207443237,0.6398,0.9344456253051758,0.6792888888888889,1.0574987359046937
4,10,1.053863337135315,0.638,0.9151898598776923,0.6868,1.0709872323036194
4,11,1.0180970375061036,0.6476,0.8972089189953274,0.6943333333333334,1.0425928560256958
4,12,1.0013601364135742,0.654,0.8774919701894124,0.6991777777777778,1.0232169589996338
4,13,1.007359630393982,0.6512,0.8612337227927314,0.7062666666666667,1.0317819790840148
4,14,0.9913709718704223,0.6616,0.8309053526560466,0.7182444444444445,1.0182272534370422
5,0,1.586499418449402,0.4422,1.825377789815267,0.35084444444444446,1.5718585212707519
5,1,1.3737815690994262,0.5126,1.463455130290985,0.48133333333333334,1.3683157398223877
5,2,1.2621166933059693,0.5556,1.3116480536778767,0.5348666666666667,1.269153352165222
5,3,1.234784997177124,0.5696,1.2214920860502454,0.5694444444444444,1.2573317136764526
5,4,1.1864678634643555,0.5866,1.1264833880530463,0.6037111111111111,1.2088858600616454
5,5,1.1105751264572143,0.6112,1.0831036521275839,0.6199555555555556,1.1252129653930665
5,6,1.0871778688430787,0.6186,1.0429410316997105,0.6355555555555555,1.1021876968383788
5,7,1.0781048387527465,0.6228,1.0044937527762519,0.6507111111111111,1.1047403968811036
5,8,1.0297101274490357,0.6418,0.9649107230186462,0.6650222222222222,1.0530105638504028
5,9,1.0212604206085205,0.6522,0.9084928035524157,0.6888,1.044107070350647
5,10,0.9935438190460205,0.6586,0.8864749528037177,0.6967111111111111,1.0239581041336059
5,11,1.0042508165359496,0.6518,0.8652503779623244,0.7035333333333333,1.0402791484832763
5,12,0.98358987865448,0.6606,0.8455903378804525,0.7117333333333333,1.0133153217315674
5,13,0.9669702020645141,0.6696,0.8262758580737644,0.7182888888888889,0.9971491327285766
5,14,0.9548564945220948,0.6756,0.792144916958279,0.7322222222222222,0.988140388584137
