,,val_loss,val_acc,loss,acc,test_loss
2,0,1.7397401084899902,0.3866,1.9105434514363606,0.32455555555555554,1.724372259902954
2,1,1.6293051765441895,0.4032,1.6388983909606933,0.4249777777777778,1.6166535301208496
2,2,1.4293716369628906,0.4954,1.4734148256513808,0.47888888888888886,1.4198052686691285
2,3,1.338787094116211,0.5276,1.3485012591256036,0.5227555555555555,1.3257121149063111
2,4,1.2691054122924805,0.5506,1.2526175117704603,0.5623333333333334,1.2619187088012696
2,5,1.234396966934204,0.5684,1.2078988091362848,0.5779111111111112,1.226012504196167
2,6,1.2134212394714357,0.5656,1.1716990281422932,0.5918222222222222,1.2020414934158326
2,7,1.1756831451416017,0.5904,1.138365966627333,0.6026222222222222,1.1696602565765382
2,8,1.1619586385726928,0.5996,1.1093460803985595,0.6147333333333334,1.157002652359009
2,9,1.1309219905853272,0.6092,1.0681294249852498,0.632,1.1297237482070923
2,10,1.131511195373535,0.6088,1.0524151916503905,0.638,1.1320129354476929
2,11,1.123745506286621,0.6092,1.0384151019626193,0.6423111111111112,1.1212834302902221
2,12,1.1052416347503662,0.6164,1.0255209879133436,0.6468666666666667,1.1046988557815551
2,13,1.1051504251480102,0.6156,1.012786582183838,0.6527333333333334,1.1054453937530517
2,14,1.0931357398986816,0.6194,0.9899181012895372,0.6630222222222222,1.094372537612915
3,0,1.6769603446960448,0.4062,1.86745442237854,0.33844444444444444,1.668927344894409
3,1,1.446694605255127,0.4826,1.5431786722395155,0.4544222222222222,1.4381230236053466
3,2,1.3197184772491455,0.5404,1.376967301220364,0.5136444444444445,1.3198111394882202
3,3,1.3522133098602296,0.5146,1.2673651680840385,0.5528666666666666,1.3481456638336182
3,4,1.1949983507156372,0.585,1.1736286459181045,0.5892222222222222,1.1939571203231811
3,5,1.1819500394821167,0.5904,1.1359716215345594,0.6048666666666667,1.1807348909378053
3,6,1.1610104419708251,0.597,1.1030320908440483,0.6174222222222222,1.161384698677063
3,7,1.1307470199584961,0.6058,1.0708952557881672,0.6270888888888889,1.1332303287506102
3,8,1.105594157600403,0.6164,1.0437448394351536,0.6370666666666667,1.1108911657333373
3,9,1.0911078086853028,0.6198,0.996748950958252,0.6567111111111111,1.0928550819396972
3,10,1.0803561000823974,0.6292,0.9803172302669949,0.6627777777777778,1.087757763671875
3,11,1.0671027002334594,0.6306,0.9649626873122321,0.6671111111111111,1.0733046951293945
3,12,1.0620584838867186,0.6302,0.9485291606585184,0.6715777777777778,1.069117090511322
3,13,1.0685585609436035,0.6302,0.9326812434938219,0.6815777777777777,1.0740737181663513
3,14,1.0474046661376952,0.6388,0.9056090782377455,0.6898,1.0582574251174928
4,0,1.582346975326538,0.446,1.8218253914939033,0.3529333333333333,1.5815818597793578
4,1,1.361277897644043,0.5206,1.478161765882704,0.4749333333333333,1.3686536409378052
4,2,1.2868210906982422,0.5448,1.315688866551717,0.5355555555555556,1.2954000860214234
4,3,1.1891901191711425,0.5894,1.2193601517359416,0.5724,1.1992822561264038
4,4,1.1529725202560426,0.5974,1.1239294528431363,0.6071555555555556,1.1685963211059571
4,5,1.1129472286224364,0.6176,1.0812914301024543,0.6254666666666666,1.12599809551239
4,6,1.12040991897583,0.606,1.0481968698501587,0.6359111111111111,1.137968470954895
4,7,1.086005153274536,0.624,1.0106055264366998,0.6491333333333333,1.0973154563903809
4,8,1.064762469100952,0.6302,0.9754660279485915,0.6612666666666667,1.0809223836898805
4,9,1.0284018360137939,0.6502,0.922106150203281,0.6838888888888889,1.0484414394378663
4,10,1.0286434085845948,0.6494,0.8988908777448866,0.6942444444444444,1.0493253744125366
4,11,1.0113229808807374,0.653,0.8802563071462843,0.6993111111111111,1.0322224614143372
4,12,0.9996452760696412,0.6536,0.862494337632921,0.7062222222222222,1.0210980618476868
4,13,0.9904693454742431,0.6606,0.8427746104134454,0.7129777777777778,1.0110856254577636
4,14,0.9848393970489502,0.6632,0.8112910109625923,0.7259777777777778,1.0094074546813965
